# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_16	cds	129855	130835	+	OAKKFK_00414		Putative aromatic acid exporter C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_Q49XV8
contig_16	cds	130962	131054	-	OAKKFK_00415		hypothetical protein	
contig_16	cds	131404	132537	+	OAKKFK_00416		Peptidase T-like protein	SO:0001217, UniRef:UniRef50_A0A380G6E1
contig_16	cds	132605	134011	+	OAKKFK_00417		6-phosphogluconate dehydrogenase, decarboxylating	SO:0001217, UniRef:UniRef50_P41582
contig_16	cds	134327	135424	+	OAKKFK_00418		Major facilitator superfamily (MFS) profile domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H3JRQ3
contig_16	cds	136010	136381	+	OAKKFK_00419		Glyoxalase	SO:0001217, UniRef:UniRef50_A0A090M013
contig_16	cds	136575	137594	+	OAKKFK_00420		Transcriptional regulator, putative	SO:0001217, UniRef:UniRef50_Q2FY63
contig_16	cds	137610	139259	+	OAKKFK_00421		putative oligo-1,6-glucosidase 3	SO:0001217, UniRef:UniRef50_O05242
contig_16	cds	139341	140207	-	OAKKFK_00422		HTH araC/xylS-type domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FY65
contig_16	cds	140437	141921	-	OAKKFK_00423		Glucose-6-phosphate 1-dehydrogenase	SO:0001217, UniRef:UniRef50_Q5HP46
contig_16	cds	142234	143154	+	OAKKFK_00424		Ribonuclease Z	SO:0001217, UniRef:UniRef50_Q2FY67
contig_16	cds	143257	144072	-	OAKKFK_00425		Pyrroline-5-carboxylate reductase	SO:0001217, UniRef:UniRef50_Q49XV0
contig_16	cds	144214	144969	+	OAKKFK_00426		Fatty acyl-CoA reductase	SO:0001217, UniRef:UniRef50_A0A6N3F4D5
contig_16	cds	144985	145233	+	OAKKFK_00427		Phage protein	SO:0001217, UniRef:UniRef50_A0A2K4AGQ5
contig_16	cds	145449	146357	-	OAKKFK_00428		Putative oxidoreductase	SO:0001217, UniRef:UniRef50_A0A380G9Q4
contig_16	cds	146439	146981	+	OAKKFK_00429		GDP-mannose pyrophosphatase	SO:0001217, UniRef:UniRef50_A0A8I0L781
contig_16	cds	147086	147535	+	OAKKFK_00430		Transcriptional repressor	SO:0001217, UniRef:UniRef50_A0A1R0XCQ8
contig_16	cds	147584	148471	+	OAKKFK_00431	xerD	Tyrosine recombinase XerD	SO:0001217, UniRef:UniRef50_Q5HFS5
contig_16	cds	148549	149055	-	OAKKFK_00432		Cytosolic protein	SO:0001217, UniRef:UniRef50_Q2FY75
contig_16	cds	149123	149878	+	OAKKFK_00433		Segregation and condensation protein A	SO:0001217, UniRef:UniRef50_Q6GGK3
contig_16	cds	149871	150413	+	OAKKFK_00434		Segregation and condensation protein B	SO:0001217, UniRef:UniRef50_Q2FY77
contig_16	cds	150406	151143	+	OAKKFK_00435		Pseudouridine synthase	SO:0001217, UniRef:UniRef50_A0A090YKY4
contig_16	cds	151276	152001	+	OAKKFK_00436	srrA	two-component system response regulator SrrA	BlastRules:WP_000064078, SO:0001217, UniRef:UniRef50_P35163
contig_16	cds	151982	153733	+	OAKKFK_00437	srrB	two-component system sensor histidine kinase SrrB	BlastRules:WP_000987769, SO:0001217, UniRef:UniRef50_Q9L523
contig_17	cds	39	725	+	OAKKFK_00438		DUF1672 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J3ZUN5
contig_18	cds	1	348	+	OAKKFK_00439	yopX	YopX protein domain-containing protein	SO:0001217, UniRef:UniRef50_A7TWH3
contig_18	cds	345	653	+	OAKKFK_00440		hypothetical protein	
contig_18	cds	646	894	+	OAKKFK_00441		DUF1024 domain-containing protein	SO:0001217, UniRef:UniRef50_B2ZYX1
contig_18	cds	887	1417	+	OAKKFK_00442		dUTP diphosphatase	SO:0001217, UniRef:UniRef50_A0A5C8XBY4
contig_18	cds	1454	1660	+	OAKKFK_00443		DUF1381 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2H4JF58
contig_18	cds	1657	2043	+	OAKKFK_00444		DUF3592 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2A1K6K6
contig_18	cds	2040	2192	+	OAKKFK_00445	rinB	RinB	SO:0001217, UniRef:UniRef50_A0A2I6PE89
contig_18	cds	2260	2460	+	OAKKFK_00446		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0K1LL54
contig_18	cds	2487	2693	-	OAKKFK_00447		hypothetical protein	
contig_18	cds	2748	5195	+	OAKKFK_00448		Virulence-associated protein E-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A9X0TLU1
contig_18	cds	5536	5826	+	OAKKFK_00449		VRR-NUC domain-containing protein	SO:0001217, UniRef:UniRef50_A7TWI5
contig_18	cds	5816	7174	+	OAKKFK_00450		Helicase ATP-binding domain-containing protein	SO:0001217, UniRef:UniRef50_H1CYY8
contig_18	cds	7187	7624	+	OAKKFK_00451		Transcriptional regulator	SO:0001217, UniRef:UniRef50_R4WCU7
contig_18	cds	7781	8095	+	OAKKFK_00452	yajD	Putative HNH nuclease YajD	SO:0001217, UniRef:UniRef50_A0A0H3JWK3
contig_18	cds	8224	8529	+	OAKKFK_00453		Terminase	SO:0001217, UniRef:UniRef50_A0A073K507
contig_18	cds	8519	10210	+	OAKKFK_00454		Putative phage terminase, large subunit	SO:0001217, UniRef:UniRef50_U1YJE3
contig_18	cds	10215	11453	+	OAKKFK_00455		Phage portal protein	SO:0001217, UniRef:UniRef50_A0A077RGY7
contig_18	cds	11437	12210	+	OAKKFK_00456		ATP-dependent Clp protease proteolytic subunit	SO:0001217, UniRef:UniRef50_A0A0D0SEM5
contig_18	cds	12222	13385	+	OAKKFK_00457		Major capsid protein	SO:0001217, UniRef:UniRef50_A0A482IEB2
contig_18	cds	13454	13732	+	OAKKFK_00458		hypothetical protein	PFAM:PF05135.19
contig_18	cds	13744	14076	+	OAKKFK_00459		Phage head-tail adapter protein	SO:0001217, UniRef:UniRef50_A0A7Z1MY25
contig_18	cds	14073	14474	+	OAKKFK_00460		PhiSLT protein	SO:0001217, UniRef:UniRef50_A0A1L7RVH1
contig_18	cds	14475	14870	+	OAKKFK_00461		DUF3168 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1L7RV34
contig_18	cds	14905	15546	+	OAKKFK_00462		Phage tail protein	SO:0001217, UniRef:UniRef50_A0A077RDB2
contig_18	cds	15638	16093	+	OAKKFK_00463		ORF023	SO:0001217, UniRef:UniRef50_Q4ZCT1
contig_18	cds	16151	16501	+	OAKKFK_00464		Gp48	SO:0001217, UniRef:UniRef50_A0A2T4PZ41
contig_18	cds	16543	16701	+	OAKKFK_00465		Gp49	SO:0001217, UniRef:UniRef50_A0A7T1F933
contig_18	cds	16715	22915	+	OAKKFK_00466		lysostaphin	SO:0001217, UniRef:UniRef50_Q2FYC8
contig_18	cds	22915	23739	+	OAKKFK_00467		Phage tail family protein	SO:0001217, UniRef:UniRef50_A0A7Z1MY40
contig_18	cds	23748	25331	+	OAKKFK_00468		Peptidase	SO:0001217, UniRef:UniRef50_M9QX27
contig_18	cds	25331	25621	+	OAKKFK_00469		Phage protein	SO:0001217, UniRef:UniRef50_R4WEC3
contig_18	cds	25637	27547	+	OAKKFK_00470		P68 RBP/TagC-like beta propeller domain-containing protein	SO:0001217, UniRef:UniRef50_R4WAL5
contig_18	cds	27547	29013	+	OAKKFK_00471	bppU	BppU N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_B5WZQ8
contig_18	cds	29013	29402	+	OAKKFK_00472		DUF2977 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0K1LKC8
contig_18	cds	29395	29559	+	OAKKFK_00473		hypothetical protein	
contig_18	cds	29605	29904	+	OAKKFK_00474		DUF2951 domain-containing protein	SO:0001217, UniRef:UniRef50_A0EWN0
contig_18	cds	30040	30342	+	OAKKFK_00475		Holin	SO:0001217, UniRef:UniRef50_M1T2Y5
contig_18	cds	30353	31807	+	OAKKFK_00476		putative autolysin PH	SO:0001217, UniRef:UniRef50_Q2FYD8
contig_18	ncRNA	32015	32165	+	OAKKFK_00477	sprX	Small pathogenicity island RNA X	RFAM:RF02672, SO:0000655
contig_18	cds	32529	32744	+	OAKKFK_00478		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001A9C3044
contig_18	cds	32834	33766	+	OAKKFK_00479		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A7U7JUM3
contig_18	ncRNA-region	33972	34106	+			FMN riboswitch aptamer (RFN element)	RFAM:RF00050, SO:0000035
contig_18	cds	34168	34713	+	OAKKFK_00480		Riboflavin transporter	SO:0001217, UniRef:UniRef50_A0A1W7ABJ4
contig_18	cds	34819	35067	-	OAKKFK_00481		Ferredoxin	SO:0001217, UniRef:UniRef50_A0A919YGA8
contig_18	cds	35175	36128	+	OAKKFK_00482		Helicase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FYE9
contig_18	cds	36118	37497	+	OAKKFK_00483	recQ	ATP-dependent DNA helicase RecQ	SO:0001217, UniRef:UniRef50_A0A380G6G1
contig_18	cds	37650	39110	+	OAKKFK_00484	ebp	cell surface elastin binding protein	SO:0001217, UniRef:UniRef50_Q2FYF1, VFDB:VFC0001, VFDB:VFG001278
contig_18	cds	39512	40498	+	OAKKFK_00485		Thioredoxin reductase	SO:0001217, UniRef:UniRef50_A0A380G2E5
contig_18	cds	40613	41581	-	OAKKFK_00486		Asparaginase family protein	SO:0001217, UniRef:UniRef50_K8E262
contig_18	cds	41658	42317	+	OAKKFK_00487		Cytidylate kinase	SO:0001217, UniRef:UniRef50_B9DNU7
contig_18	cds	43029	44204	+	OAKKFK_00488		Small ribosomal subunit protein bS1	SO:0001217, UniRef:UniRef50_Q49XT0
contig_18	cds	44426	45736	+	OAKKFK_00489		GTPase Der	SO:0001217, UniRef:UniRef50_P50743
contig_18	cds	45753	46751	+	OAKKFK_00490		Glycerol-3-phosphate dehydrogenase [NAD(P)+]	SO:0001217, UniRef:UniRef50_Q5XE03
contig_18	cds	46922	47194	+	OAKKFK_00491		SPbeta prophage-derived DNA-binding protein HU 2	SO:0001217, UniRef:UniRef50_P68573
contig_18	cds	47625	48197	+	OAKKFK_00492		Heptaprenyl pyrophosphate synthase subunit A	SO:0001217, UniRef:UniRef50_Q2FYG4
contig_18	cds	48200	48925	+	OAKKFK_00493		Demethylmenaquinone methyltransferase	SO:0001217, UniRef:UniRef50_A0A1D2JWW0
contig_18	cds	48927	49886	+	OAKKFK_00494		Farnesyl pyrophosphate synthetase	SO:0001217, UniRef:UniRef50_A0A0D6HKK2
contig_18	cds	49978	50427	+	OAKKFK_00495		Nucleoside diphosphate kinase	SO:0001217, UniRef:UniRef50_Q65I26
contig_18	cds	50636	50836	+	OAKKFK_00496		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6M1XP97
contig_18	cds	51222	52388	+	OAKKFK_00497		Chorismate synthase	SO:0001217, UniRef:UniRef50_P31104
contig_18	cds	52414	53478	+	OAKKFK_00498		3-dehydroquinate synthase	SO:0001217, UniRef:UniRef50_Q6GGU4
contig_18	cds	53488	54786	+	OAKKFK_00499		3-phosphoshikimate 1-carboxyvinyltransferase	SO:0001217, UniRef:UniRef50_Q05615
contig_18	cds	54793	56037	+	OAKKFK_00500		TPR-repeat-containing protein	SO:0001217, UniRef:UniRef50_Q49XR9
contig_18	cds	56039	56626	+	OAKKFK_00501		UPF0302 protein SAOUHSC_01479	SO:0001217, UniRef:UniRef50_Q2FYH3
contig_18	cds	56616	57203	+	OAKKFK_00502		DUF1405 domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FYH4
contig_18	cds	57257	57955	+	OAKKFK_00503	yugP	Putative membrane protease YugP	SO:0001217, UniRef:UniRef50_A0A653N3U1
contig_18	cds	58291	58608	+	OAKKFK_00504		Nucleotide pyrophosphohydrolase	SO:0001217, UniRef:UniRef50_A0A291JJY7
contig_18	cds	58852	59994	+	OAKKFK_00505		N-acetyl-alpha-D-glucosaminyl L-malate synthase	SO:0001217, UniRef:UniRef50_P42982
contig_18	cds	59999	61201	+	OAKKFK_00506		CCA-adding enzyme	SO:0001217, UniRef:UniRef50_Q49XR3
contig_18	cds	61188	62159	+	OAKKFK_00507	birA	Bifunctional ligase/repressor BirA	SO:0001217, UniRef:UniRef50_A0A2K4AIL1
contig_18	cds	62183	64876	+	OAKKFK_00508	dinG	3'-5' exonuclease DinG	SO:0001217, UniRef:UniRef50_Q6GGV4
contig_18	cds	65198	66490	+	OAKKFK_00509		Asparagine--tRNA ligase	SO:0001217, UniRef:UniRef50_P54262
contig_18	cds	66818	67504	+	OAKKFK_00510	dnaD	DnaD domain protein	SO:0001217, UniRef:UniRef50_A0A2T4RL44
contig_18	cds	67494	68153	+	OAKKFK_00511		Endonuclease III	SO:0001217, UniRef:UniRef50_A0A919WNW2
contig_18	cds	68158	68499	+	OAKKFK_00512		YpoC-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A143PAF6
contig_18	cds	69065	71248	-	OAKKFK_00513		hypothetical protein	PFAM:PF00905.27, PFAM:PF00912.28
contig_18	cds	71245	71871	-	OAKKFK_00514	recU	Holliday junction resolvase RecU	SO:0001217, UniRef:UniRef50_Q8GN53
contig_18	cds	72360	72761	+	OAKKFK_00515		DUF1798 domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FYI3
contig_18	cds	72754	73317	+	OAKKFK_00516		UPF0398 protein SAOUHSC_01463	SO:0001217, UniRef:UniRef50_Q2FYI4
contig_18	cds	73331	73675	+	OAKKFK_00517	gpsB	Cell division regulator GpsB	SO:0001217, UniRef:UniRef50_B9EC40
contig_18	ncRNA	73738	74117	+	OAKKFK_00518	RNaseP_bact_b	Bacterial RNase P class B	RFAM:RF00011, SO:0000386
contig_18	cds	73776	73892	+	OAKKFK_00519		hypothetical protein	
contig_18	cds	74326	75471	+	OAKKFK_00520	ypsC	Putative RNA methyltransferase YpsC	SO:0001217, UniRef:UniRef50_P50840
contig_18	cds	75555	75887	+	OAKKFK_00521		DUF4889 domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FYI7
contig_18	cds	76093	77433	-	OAKKFK_00522		PepSY domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FYI9
contig_18	cds	77737	81177	+	OAKKFK_00523		Dynamin N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_K9B117
contig_18	cds	81197	82075	+	OAKKFK_00524		5'-3' exonuclease	SO:0001217, UniRef:UniRef50_A0A380G7N4
contig_18	cds	82551	83669	+	OAKKFK_00525		Alanine dehydrogenase 1	SO:0001217, UniRef:UniRef50_Q2FYJ2
contig_18	cds	83764	84804	+	OAKKFK_00526	tdcB	L-threonine dehydratase catabolic TdcB	SO:0001217, UniRef:UniRef50_P0AGF6
contig_18	cds	84835	86157	+	OAKKFK_00527		Amino acid permease	SO:0001217, UniRef:UniRef50_G2KUQ6
contig_18	cds	86313	87704	+	OAKKFK_00528	norB	multidrug efflux MFS transporter NorB	BlastRules:WP_000414682, SO:0001217, UniRef:UniRef50_Q2FYJ5
contig_18	cds	88102	119745	+	OAKKFK_00529		Extracellular matrix-binding protein ebh	SO:0001217, UniRef:UniRef50_A0AAW4Y4Y3
contig_18	cds	119804	120205	-	OAKKFK_00530		hypothetical protein	PFAM:PF00075.30, PFAM:PF13456.12
contig_18	ncRNA	120401	120667	-	OAKKFK_00531	S35	Staphylococcus sRNA 35 (srn_0335)	RFAM:RF02894, SO:0000655
contig_18	cds	120688	121392	-	OAKKFK_00532		putative queuosine precursor transporter	SO:0001217, UniRef:UniRef50_A0A380CFB3
contig_18	cds	121843	122094	+	OAKKFK_00533		PBS lyase HEAT-like repeat protein	SO:0001217, UniRef:UniRef50_A0A0U1E823
contig_18	cds	122132	123256	+	OAKKFK_00534		Conserved virulence factor C	SO:0001217, UniRef:UniRef50_Q2FYK3
contig_18	cds	123272	123709	+	OAKKFK_00535		Bacilliredoxin SAOUHSC_01436	SO:0001217, UniRef:UniRef50_Q2FYK4
contig_18	cds	124133	125089	+	OAKKFK_00536		Thymidylate synthase	SO:0001217, UniRef:UniRef50_A0A2D7BUW8
contig_18	cds	125289	125768	+	OAKKFK_00537		Dihydrofolate reductase	SO:0001217, UniRef:UniRef50_Q5HFZ7
contig_18	cds	125783	126622	+	OAKKFK_00538	fakB2	fatty acid kinase binding subunit FakB2	BlastRules:WP_000166059, SO:0001217, UniRef:UniRef50_Q8NWR0
contig_18	cds	126708	127241	+	OAKKFK_00539	msrA	Peptide methionine sulfoxide reductase MsrA 2	SO:0001217, UniRef:UniRef50_P0A086
contig_18	cds	127234	127662	+	OAKKFK_00540	msrB	Peptide methionine sulfoxide reductase MsrB	SO:0001217, UniRef:UniRef50_P0A088
contig_18	cds	127674	128174	+	OAKKFK_00541		PTS system glucose-specific EIIA component	SO:0001217, UniRef:UniRef50_Q8CZD5
contig_18	cds	128174	128395	+	OAKKFK_00542		UPF0346 protein SAOUHSC_01429	SO:0001217, UniRef:UniRef50_Q2FYL1
contig_18	cds	128587	130077	+	OAKKFK_00543		putative CtpA-like serine protease	SO:0001217, UniRef:UniRef50_Q4L6D0
contig_18	cds	130477	130986	+	OAKKFK_00544		N-acetyltransferase domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FYL4
contig_18	cds	130998	132068	+	OAKKFK_00545		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	SO:0001217, UniRef:UniRef50_Q2FYL5
contig_18	ncRNA	131526	131700	-	OAKKFK_00546	S414	Staphylococcus sRNA 414	RFAM:RF02895, SO:0000655
contig_18	cds	132085	132699	+	OAKKFK_00547		Phosphatidic acid phosphatase type 2/haloperoxidase domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FYL6
contig_18	ncRNA	132713	132893	-	OAKKFK_00548	tsr25	S. aureus tsr25 small RNA	RFAM:RF02578, SO:0000655
contig_18	cds	132816	133016	+	OAKKFK_00549		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2X2KCZ4
contig_18	cds	133487	134146	+	OAKKFK_00550	arlR	response regulator transcription factor ArlR	BlastRules:WP_000192137, SO:0001217, UniRef:UniRef50_A0A168R9F4
contig_18	cds	134143	135498	+	OAKKFK_00551	arlS	sensor histidine kinase ArlS	BlastRules:WP_000166801, SO:0001217, UniRef:UniRef50_Q9KJN3
contig_18	cds	135782	138580	+	OAKKFK_00552		2-oxoglutarate dehydrogenase E1 component	SO:0001217, UniRef:UniRef50_P0C601
contig_18	cds	138594	139862	+	OAKKFK_00553		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	SO:0001217, UniRef:UniRef50_Q2FYM2
contig_18	cds	140442	141251	+	OAKKFK_00554	mhqA	Ring-cleaving dioxygenase MhqA	SO:0001217, UniRef:UniRef50_A0A6N3AGB1
contig_18	cds	141280	141483	+	OAKKFK_00555	yozC	YozC	SO:0001217, UniRef:UniRef50_A0A5R9B5B5
contig_18	cds	141664	142455	+	OAKKFK_00556		AAA+ ATPase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0M2SSL5
contig_18	cds	142469	144355	+	OAKKFK_00557	norD	Nitric oxide reductase activation protein NorD	SO:0001217, UniRef:UniRef50_A0A380G8L3
contig_18	cds	144581	145921	+	OAKKFK_00558		Putative branched-chain amino acid carrier protein SAOUHSC_01411	SO:0001217, UniRef:UniRef50_Q2FYM4
contig_18	cds	145994	147130	-	OAKKFK_00559		TelA-like protein SSP1345	SO:0001217, UniRef:UniRef50_Q49XK7
contig_18	cds	147162	147785	-	OAKKFK_00560	xpaC	5-bromo-4-chloroindolyl phosphate hydrolysis protein XpaC	SO:0001217, UniRef:UniRef50_K9AM25
contig_18	cds	147810	148079	-	OAKKFK_00561		Acylphosphatase	SO:0001217, UniRef:UniRef50_Q4L6A9
contig_18	cds	148242	148550	+	OAKKFK_00562	msaA	regulatory protein MsaA	BlastRules:WP_000269923, SO:0001217, UniRef:UniRef50_B9EC02
contig_18	cds	148721	148921	+	OAKKFK_00563	cspA	cold shock protein CspA	BlastRules:WP_000809131, SO:0001217, UniRef:UniRef50_A0A150N433
contig_18	cds	149118	149519	+	OAKKFK_00564	msaC	sarA expression modulator MsaC	BlastRules:WP_000876201
contig_18	cds	149759	151024	-	OAKKFK_00565		Diaminopimelate decarboxylase	SO:0001217, UniRef:UniRef50_Q5HG20
contig_18	cds	151014	152099	-	OAKKFK_00566		Alanine racemase 2	SO:0001217, UniRef:UniRef50_Q9EZ08
contig_18	cds	152104	153255	-	OAKKFK_00567		Uncharacterized hydrolase SAOUHSC_01399	SO:0001217, UniRef:UniRef50_Q2FYN6
contig_18	cds	153398	154117	-	OAKKFK_00568		hypothetical protein	PFAM:PF00132.30, PFAM:PF14602.12
contig_18	cds	154144	154866	-	OAKKFK_00569		4-hydroxy-tetrahydrodipicolinate reductase	SO:0001217, UniRef:UniRef50_Q9EZ11
contig_18	cds	154863	155750	-	OAKKFK_00570		4-hydroxy-tetrahydrodipicolinate synthase	SO:0001217, UniRef:UniRef50_Q6GH13
contig_18	cds	155752	156741	-	OAKKFK_00571		Aspartate-semialdehyde dehydrogenase	SO:0001217, UniRef:UniRef50_A0A2T4PUK5
contig_18	cds	156805	158010	-	OAKKFK_00572		Aspartokinase	SO:0001217, UniRef:UniRef50_B9EBZ4
contig_18	ncRNA-region	158092	158267	-			Lysine riboswitch aptamer	RFAM:RF00168, SO:0000035
contig_19	cds	244	873	-	OAKKFK_00573		hypothetical protein	
contig_19	cds	888	1148	-	OAKKFK_00574	cstR	persulfide-sensing transcriptional repressor CstR	BlastRules:WP_001105087, SO:0001217, UniRef:UniRef50_Q9XBC0
contig_19	cds	1284	2348	+	OAKKFK_00575		Rhodanese domain-containing protein	SO:0001217, UniRef:UniRef50_B9DJV1
contig_19	cds	2381	3319	+	OAKKFK_00576		Metallo-beta-lactamase domain-containing protein	SO:0001217, UniRef:UniRef50_B9V299
contig_19	cds	3410	3715	+	OAKKFK_00577		hypothetical protein	PFAM:PF00581.25
contig_19	cds	3829	4938	-	OAKKFK_00578		Xylose repressor	SO:0001217, UniRef:UniRef50_P27159
contig_19	ncRNA	5267	5409	+	OAKKFK_00579	psm_mec_RNA	psm_mec locus RNA	RFAM:RF02693, SO:0000655
contig_19	cds	5446	5817	-	OAKKFK_00580	mecI	mecA-type methicillin resistance repressor MecI	NCBIProtein:WP_000369214.1, SO:0001217, UniRef:UniRef50_P0A042
contig_19	cds	5817	7574	-	OAKKFK_00581	mecR1	beta-lactam sensor/signal transducer MecR1	NCBIProtein:WP_000952923.1, SO:0001217, UniRef:UniRef50_Q5HK32
contig_19	cds	7674	9680	+	OAKKFK_00582	mecA	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	NCBIProtein:WP_000721310.1, SO:0001217, UniRef:UniRef50_P07944
contig_19	cds	9726	10154	-	OAKKFK_00583		MaoC-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0F7FF17
contig_19	cds	10251	10994	-	OAKKFK_00584		GP-PDE domain-containing protein	SO:0001217, UniRef:UniRef50_S2XRR6
contig_19	cds	11671	11838	-	OAKKFK_00585		hypothetical protein	
contig_20	cds	3	962	-	OAKKFK_00586		Cation transporter	SO:0001217, UniRef:UniRef50_Q2G1I9
contig_20	cds	1609	3096	-	OAKKFK_00587	aldA	Putative aldehyde dehydrogenase AldA	SO:0001217, UniRef:UniRef50_Q2G1J0
contig_20	cds	3523	3906	+	OAKKFK_00588		DUF454 domain-containing protein	SO:0001217, UniRef:UniRef50_Q2G1J1
contig_20	cds	3913	4239	+	OAKKFK_00589	isdI	staphylobilin-forming heme oxygenase IsdI	BlastRules:WP_000480603
contig_20	cds	4304	5449	-	OAKKFK_00590	cap8P	type 8 capsular polysaccharide synthesis protein Cap8P	BlastRules:WP_000723452, SO:0001217, UniRef:UniRef50_A0A239Z1C1
contig_20	cds	5526	6788	-	OAKKFK_00591	cap8O	type 8 capsular polysaccharide synthesis protein Cap8O	BlastRules:WP_000779494, SO:0001217, UniRef:UniRef50_A0A239ZQS7
contig_20	cds	6842	7729	-	OAKKFK_00592	capN	capsular polysaccharide type 5/8 biosynthesis epimerase CapN	BlastRules:WP_001230668, SO:0001217, UniRef:UniRef50_A0A390B3T4
contig_20	cds	7729	8286	-	OAKKFK_00593	cap8M	type 8 capsular polysaccharide synthesis protein Cap8M	BlastRules:WP_000825101, SO:0001217, UniRef:UniRef50_A0A2D7LN21
contig_20	cds	8297	9502	-	OAKKFK_00594	cap8L	type 8 capsular polysaccharide synthesis protein Cap8L	BlastRules:WP_001291010, SO:0001217, UniRef:UniRef50_P95705
contig_20	cds	9503	10708	-	OAKKFK_00595		Cap5K	SO:0001217, UniRef:UniRef50_P95704
contig_20	cds	10701	11867	-	OAKKFK_00596		Capsular polysaccharide synthesis enzyme Cap5J	SO:0001217, UniRef:UniRef50_A0A391FAD1
contig_20	cds	11881	12990	-	OAKKFK_00597		Glycosyltransferase, group 1 family protein	SO:0001217, UniRef:UniRef50_D7UYF1
contig_20	cds	12995	13621	-	OAKKFK_00598		Acetyltransferase	SO:0001217, UniRef:UniRef50_A0A2K4AME3
contig_20	cds	13624	14748	-	OAKKFK_00599	cap8G	type 8 capsular polysaccharide synthesis protein Cap8G	BlastRules:WP_000413169, SO:0001217, UniRef:UniRef50_A0A291DWA7
contig_20	cds	14752	15861	-	OAKKFK_00600	cap8F	type 8 capsular polysaccharide synthesis protein Cap8F	BlastRules:WP_001028293, SO:0001217, UniRef:UniRef50_A0A2A7BXZ5
contig_20	cds	15874	16902	-	OAKKFK_00601	cap8E	type 8 capsular polysaccharide synthesis protein Cap8E	BlastRules:WP_000459062, SO:0001217, UniRef:UniRef50_A0A380DM82
contig_20	cds	16892	18715	-	OAKKFK_00602	cap8D	type 8 capsular polysaccharide synthesis protein Cap8D	BlastRules:WP_000940793, SO:0001217, UniRef:UniRef50_P39853
contig_20	cds	18735	19499	-	OAKKFK_00603	cap8C	type 8 capsular polysaccharide synthesis protein Cap8C	BlastRules:WP_000565297, SO:0001217, UniRef:UniRef50_P72369
contig_20	cds	19502	20188	-	OAKKFK_00604	cap8B	type 8 capsular polysaccharide synthesis protein Cap8B	BlastRules:WP_000037328, SO:0001217, UniRef:UniRef50_P39851
contig_20	cds	20204	20872	-	OAKKFK_00605	capA	capsular polysaccharide type 5/8 biosynthesis protein CapA	BlastRules:WP_000446300, SO:0001217, UniRef:UniRef50_P72367
contig_20	cds	21215	23824	-	OAKKFK_00606		Aldehyde-alcohol dehydrogenase	SO:0001217, UniRef:UniRef50_A0A7X9RAD7
contig_20	cds	24209	25384	-	OAKKFK_00607		Zn peptidase with DNA binding domain	SO:0001217, UniRef:UniRef50_A0A380G485
contig_20	cds	25390	26166	-	OAKKFK_00608		Cytosolic protein	SO:0001217, UniRef:UniRef50_A0A6A9GQ09
contig_20	cds	26314	27849	-	OAKKFK_00609		2',3'-cyclic-nucleotide 2'-phosphodiesterase	SO:0001217, UniRef:UniRef50_A0A390ZG35
contig_20	cds	27900	29444	-	OAKKFK_00610		DNA-binding protein	SO:0001217, UniRef:UniRef50_Q2G1L6
contig_20	cds	29673	30629	+	OAKKFK_00611		Phosphonate ABC transporter, periplasmic phosphonate-binding protein	SO:0001217, UniRef:UniRef50_D3EDC2
contig_20	cds	30824	31597	+	OAKKFK_00612		Phosphonate ABC transporter, ATP-binding protein	SO:0001217, UniRef:UniRef50_C5RD94
